역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,총승하차인원,유임승하차인원,무임승하차인원,시간대총합
미아,승차,417648,748962,1669893,1855341,1236653,951757,905226,972638,911823,874388,877404,1041935,1062283,1059516,623545,437298,378045,300983,107088,15591,16448127,12087924,4360203,16448017
미아사거리,승차,554500,1305639,3159313,3420061,2180953,1568377,1467751,1528148,1518938,1451788,1558982,1695109,1540969,1540580,1105188,1064015,656291,476189,225836,36238,28054961,21193993,6860968,28054865
발산,승차,132126,386028,1026849,1100043,737854,754761,890130,1031468,1127890,1264573,1511631,1752832,2678758,3342628,1495644,1291290,1258375,1014681,427203,57180,23282076,19201811,4080265,23281944
봉천,승차,553743,1042928,2982581,4328098,2701161,1552595,1269841,1341948,1305388,1158434,1104292,1173905,1177709,1191408,741094,611822,525136,400033,175053,32795,25370112,19808836,5561276,25369964
사당,승차,856928,2036467,5278682,6528622,5054141,3432423,3049118,3352348,3466032,3633869,3698814,3923762,4663262,5408165,3793384,3626429,3952964,3628519,1925872,291201,71601918,59961340,11640578,71601002
상계,승차,539349,1394819,3087510,2620491,1610064,1178535,1068648,1145460,1057168,915180,923625,1004183,990219,892745,580842,457152,411741,415464,132201,21692,20447275,15678394,4768881,20447088
서울대입구,승차,1163620,1573365,4507158,6184871,4248434,2528963,2200829,2454432,2569355,2287841,2419135,2663995,3010670,3266056,1982451,1707389,1725547,1516165,814748,142371,48967646,42399214,6568432,48967395
서울,승차,674894,1087135,3492967,5621534,4822442,4538642,5439341,6138140,6005131,4937014,6797296,7653645,11447822,13913843,7712907,5475015,5711200,3865328,2047543,198122,107581368,95195949,12385419,107579961
선릉,승차,219957,505682,986644,1533667,1484851,1655898,2097817,2547634,2916482,3333682,4325577,5618990,9231115,13068551,6445648,4195173,3911613,3264682,1128019,160210,68632153,58477223,10154930,68631892
수유,승차,813951,1669208,3934570,4325714,2858242,2038053,1919197,2014380,1933054,1805440,1801851,1961506,2065813,2291933,1378843,1074433,943491,757917,414878,68793,36071440,28908577,7162863,36071267
신대방,승차,874401,1240314,3192319,4671938,2951696,1664422,1349270,1358839,1288974,1121308,1103339,1179146,1228385,1166063,750283,580760,464881,365367,178893,33811,26764700,21979299,4785401,26764409
신도림,승차,1531751,2059013,5261109,5653805,3517806,2457579,2391646,2701465,2794425,2843197,3032692,3345054,4175755,4916897,2856508,2486497,2332474,1879506,857780,100059,57195834,47898878,9296956,57195018
신림,승차,1376192,2516897,6677456,9788983,6041620,3446567,2883519,3067957,2903126,2681321,2622069,2813954,2930097,2987937,2057540,1736238,1623925,1391118,803620,172489,60523264,52542519,7980745,60522625
쌍문,승차,895813,1900547,4399698,4520131,2804872,1972463,1705711,1729345,1562802,1363594,1296302,1371826,1376671,1242609,824865,614127,489017,369413,168640,25139,30633691,24094998,6538693,30633585
안국,승차,61035,105947,219977,376667,508403,625290,916878,1300215,1521312,1898179,2458992,3261116,4481692,4505320,2106107,1715293,1428367,772931,247408,28007,28539422,24630174,3909248,28539136
암사,승차,552693,971318,2678255,3344035,1737506,1056519,915257,932526,868979,743126,726950,765538,806330,796779,491861,387574,292839,199934,83281,17100,18368444,14319065,4049379,18368400
양재,승차,186591,505297,1280210,1659029,1190355,1110904,1213190,1386942,1581611,1774531,2107193,2666439,4618719,6718488,3114178,2305076,2137866,1399349,477070,53314,37486422,31975362,5511060,37486352
연신내,승차,926231,1748337,4240407,5052991,3039254,2114650,2004045,2170029,1992502,1836476,1894532,2125928,1968377,1805050,1271337,1034931,911125,752132,362704,58913,37310138,27800096,9510042,37309951
우장산,승차,262791,819803,1971715,2110900,1149998,927806,896623,913315,834652,749906,835130,929284,873397,728231,456683,333216,288007,234037,72331,11285,15399167,11755909,3643258,15399110
을지로3가,승차,72760,153001,373903,730226,981215,1192875,1335877,1384024,1556039,1797506,2029464,2528669,4960735,7428044,3089033,2344176,2463837,2075298,1158370,189210,37845068,33343837,4501231,37844262
응암,승차,434732,963742,2547785,3159442,1707111,1081577,986406,1011312,951117,819876,807485,893268,855762,808351,510880,383815,325424,239778,100461,15165,18603515,14009044,4594471,18603489
잠실,승차,537074,1945086,4618701,6403729,4745698,3451730,3642582,4172349,4711083,5343938,6485428,7672044,9443403,11430637,7886849,7827131,7242255,4950228,1559738,281604,104354988,93205183,11149805,104351287
잠실나루,승차,123353,464774,1370098,1702911,1139703,915610,892811,848341,784706,824155,929761,1213435,1375699,1094090,544640,403703,299768,216300,97247,15753,15257078,12022297,3234781,15256858
장한평,승차,286672,700299,1997764,2758725,1450901,906064,811936,876370,858825,835399,897383,1148041,1536794,2220271,958240,581774,475357,369743,159966,24729,19855320,16205687,3649633,19855253
제기동,승차,199639,321210,784426,1151267,852925,920498,1168037,1367627,1445515,1582812,1716580,1708281,1581884,1385822,746058,492584,326669,205407,84073,6029,18047405,8339614,9707791,18047343
